order_id,customer_id,order_date,delivery_date
1,64,2021-08-30,2021-09-24
2,473,2021-02-03,2021-02-13
3,774,2021-10-08,2021-11-03
4,433,2021-05-06,2021-05-19
5,441,2021-03-23,2021-03-24
6,800,2021-09-09,2021-10-05
7,626,2021-04-05,2021-04-11
8,58,2021-04-12,2021-05-01
9,852,2021-05-01,2021-05-11
10,659,2021-10-15,2021-10-16
11,785,2021-06-15,2021-06-30
12,120,2021-06-30,2021-07-11
13,204,2021-10-15,2021-10-31
14,957,2021-03-29,2021-04-12
15,468,2021-09-22,2021-10-08
16,564,2021-07-07,2021-07-08
17,614,2021-02-09,2021-02-11
18,299,2021-01-01,2021-01-03
19,513,2021-08-30,2021-09-10
20,789,2021-01-13,2021-01-20
21,124,2021-04-04,2021-04-17
22,180,2021-05-28,2021-06-09
23,652,2021-05-17,2021-05-22
24,469,2021-09-04,2021-09-20
25,562,2021-07-04,2021-07-08
26,732,2021-04-25,2021-05-04
27,443,2021-05-16,2021-05-28
28,206,2021-08-19,2021-09-04
29,993,2021-03-22,2021-03-28
30,260,2021-07-07,2021-07-26
31,727,2021-03-11,2021-04-05
32,627,2021-06-17,2021-07-14
33,588,2021-07-01,2021-07-07
34,412,2021-05-23,2021-05-30
35,358,2021-08-31,2021-09-07
36,51,2021-08-22,2021-09-04
37,78,2021-07-07,2021-07-18
38,809,2021-02-03,2021-02-19
39,466,2021-02-26,2021-03-20
40,86,2021-01-07,2021-01-19
41,790,2021-01-03,2021-01-09
42,690,2021-07-29,2021-08-02
43,570,2021-07-13,2021-08-03
44,849,2021-09-07,2021-09-22
45,571,2021-05-30,2021-06-21
46,922,2021-06-22,2021-07-04
47,791,2021-04-21,2021-04-23
48,620,2021-04-16,2021-04-23
49,336,2021-01-22,2021-02-13
50,454,2021-09-16,2021-09-18
51,399,2021-02-19,2021-02-26
52,493,2021-10-06,2021-10-29
53,528,2021-04-22,2021-05-02
54,195,2021-04-25,2021-05-17
55,873,2021-04-08,2021-04-25
56,587,2021-01-23,2021-02-18
57,163,2021-02-27,2021-03-13
58,332,2021-02-02,2021-02-10
59,843,2021-01-31,2021-02-27
60,301,2021-02-05,2021-02-28
61,158,2021-04-16,2021-04-28
